波数(cm-1),吸光度
974.36,0.131855
974.84,0.132918
975.32,0.133991
975.80,0.135114
976.29,0.136320
976.77,0.137635
977.25,0.139078
977.73,0.140661
978.21,0.142383
978.70,0.144228
979.18,0.146163
979.66,0.148141
980.14,0.150107
980.63,0.152019
981.11,0.153853
981.59,0.155615
982.07,0.157338
982.55,0.159072
983.04,0.160868
983.52,0.162769
984.00,0.164803
984.48,0.166980
984.96,0.169301
985.45,0.171750
985.93,0.174301
986.41,0.176908
986.89,0.179505
987.37,0.182018
987.86,0.184372
988.34,0.186522
988.82,0.188468
989.30,0.190260
989.79,0.191991
990.27,0.193760
990.75,0.195648
991.23,0.197688
991.71,0.199861
992.20,0.202103
992.68,0.204339
993.16,0.206513
993.64,0.208607
994.12,0.210647
994.61,0.212690
995.09,0.214805
995.57,0.217039
996.05,0.219408
996.54,0.221888
997.02,0.224428
997.50,0.226958
997.98,0.229411
998.46,0.231738
998.95,0.233918
999.43,0.235963
999.91,0.237910
1000.39,0.239812
1000.87,0.241718
1001.36,0.243656
1001.84,0.245620
1002.32,0.247577
1002.80,0.249481
1003.28,0.251292
1003.77,0.253002
1004.25,0.254640
1004.73,0.256269
1005.21,0.257954
1005.70,0.259739
1006.18,0.261621
1006.66,0.263555
1007.14,0.265465
1007.62,0.267275
1008.11,0.268943
1008.59,0.270474
1009.07,0.271915
1009.55,0.273331
1010.03,0.274775
1010.52,0.276270
1011.00,0.277799
1011.48,0.279313
1011.96,0.280750
1012.45,0.282057
1012.93,0.283194
1013.41,0.284142
1013.89,0.284897
1014.37,0.285469
1014.86,0.285881
1015.34,0.286177
1015.82,0.286418
1016.30,0.286674
1016.78,0.287007
1017.27,0.287455
1017.75,0.288011
1018.23,0.288627
1018.71,0.289225
1019.20,0.289720
1019.68,0.290048
1020.16,0.290173
1020.64,0.290104
1021.12,0.289873
1021.61,0.289530
1022.09,0.289116
1022.57,0.288668
1023.05,0.288208
1023.53,0.287745
1024.02,0.287281
1024.50,0.286810
1024.98,0.286325
1025.46,0.285817
1025.94,0.285282
1026.43,0.284725
1026.91,0.284162
1027.39,0.283610
1027.87,0.283079
1028.36,0.282563
1028.84,0.282041
1029.32,0.281478
1029.80,0.280844
1030.28,0.280130
1030.77,0.279355
1031.25,0.278560
1031.73,0.277784
1032.21,0.277042
1032.69,0.276306
1033.18,0.275507
1033.66,0.274553
1034.14,0.273360
1034.62,0.271894
1035.10,0.270175
1035.59,0.268283
1036.07,0.266323
1036.55,0.264405
1037.03,0.262604
1037.52,0.260955
1038.00,0.259454
1038.48,0.258072
1038.96,0.256767
1039.44,0.255499
1039.93,0.254231
1040.41,0.252930
1040.89,0.251566
1041.37,0.250119
1041.85,0.248588
1042.34,0.246999
1042.82,0.245399
1043.30,0.243850
1043.78,0.242405
1044.27,0.241084
1044.75,0.239872
1045.23,0.238716
1045.71,0.237548
1046.19,0.236305
1046.67,0.234954
1047.16,0.233500
1047.64,0.231981
1048.12,0.230445
1048.60,0.228940
1049.09,0.227495
1049.57,0.226118
1050.05,0.224805
1050.53,0.223546
1051.01,0.222339
1051.50,0.221190
