波数(cm-1),吸光度
1001.36,0.060105
1001.84,0.060366
1002.32,0.060627
1002.80,0.060884
1003.28,0.061131
1003.77,0.061365
1004.25,0.061583
1004.73,0.061792
1005.21,0.061996
1005.70,0.062202
1006.18,0.062408
1006.66,0.062608
1007.14,0.062795
1007.62,0.062959
1008.11,0.063097
1008.59,0.063213
1009.07,0.063314
1009.55,0.063406
1010.03,0.063494
1010.52,0.063580
1011.00,0.063659
1011.48,0.063729
1011.96,0.063789
1012.45,0.063845
1012.93,0.063902
1013.41,0.063964
1013.89,0.064031
1014.37,0.064098
1014.86,0.064159
1015.34,0.064208
1015.82,0.064241
1016.30,0.064260
1016.78,0.064270
1017.27,0.064274
1017.75,0.064274
1018.23,0.064267
1018.71,0.064248
1019.20,0.064214
1019.68,0.064166
1020.16,0.064108
1020.64,0.064047
1021.12,0.063987
1021.61,0.063926
1022.09,0.063863
1022.57,0.063790
1023.05,0.063704
1023.53,0.063605
1024.02,0.063497
1024.50,0.063384
1024.98,0.063268
1025.46,0.063147
1025.94,0.063013
1026.43,0.062861
1026.91,0.062687
1027.39,0.062492
1027.87,0.062285
1028.36,0.062076
1028.84,0.061874
1029.32,0.061682
1029.80,0.061498
1030.28,0.061320
1030.77,0.061141
1031.25,0.060960
1031.73,0.060778
1032.21,0.060594
1032.69,0.060409
1033.18,0.060218
1033.66,0.060015
1034.14,0.059794
1034.62,0.059553
1035.10,0.059295
1035.59,0.059029
1036.07,0.058762
1036.55,0.058499
1037.03,0.058242
1037.52,0.057986
1038.00,0.057726
1038.48,0.057458
1038.96,0.057183
1039.44,0.056905
1039.93,0.056631
1040.41,0.056363
1040.89,0.056102
1041.37,0.055844
1041.85,0.055585
1042.34,0.055320
1042.82,0.055053
1043.30,0.054786
1043.78,0.054525
1044.27,0.054272
1044.75,0.054025
1045.23,0.053779
1045.71,0.053526
1046.19,0.053263
1046.67,0.052992
1047.16,0.052719
1047.64,0.052451
1048.12,0.052195
1048.60,0.051953
1049.09,0.051724
1049.57,0.051504
1050.05,0.051289
1050.53,0.051077
1051.01,0.050868
1051.50,0.050663
1051.98,0.050458
1052.46,0.050249
1052.94,0.050028
1053.42,0.049791
1053.91,0.049533
1054.39,0.049259
1054.87,0.048976
1055.35,0.048691
1055.84,0.048412
1056.32,0.048139
1056.80,0.047871
1057.28,0.047604
1057.76,0.047334
1058.25,0.047060
1058.73,0.046784
1059.21,0.046509
1059.69,0.046238
1060.17,0.045972
1060.66,0.045708
1061.14,0.045446
1061.62,0.045183
1062.10,0.044920
1062.59,0.044658
1063.07,0.044397
1063.55,0.044135
1064.03,0.043868
1064.51,0.043591
1065.00,0.043299
1065.48,0.042993
1065.96,0.042678
1066.44,0.042363
1066.92,0.042058
1067.41,0.041768
1067.89,0.041495
1068.37,0.041234
1068.85,0.040978
1069.34,0.040722
1069.82,0.040460
1070.30,0.040194
1070.78,0.039924
1071.26,0.039653
1071.74,0.039385
1072.23,0.039119
1072.71,0.038856
1073.19,0.038596
1073.67,0.038337
1074.16,0.038080
1074.64,0.037825
1075.12,0.037570
1075.60,0.037313
1076.08,0.037051
1076.57,0.036783
1077.05,0.036510
1077.53,0.036235
1078.01,0.035962
1078.49,0.035695
1078.98,0.035434
1079.46,0.035179
1079.94,0.034928
1080.42,0.034678
1080.91,0.034429
1081.39,0.034180
1081.87,0.033933
1082.35,0.033684
1082.83,0.033434
1083.32,0.033180
1083.80,0.032921
1084.28,0.032661
1084.76,0.032405
1085.24,0.032163
1085.73,0.031941
1086.21,0.031742
1086.69,0.031561
1087.17,0.031389
1087.65,0.031214
1088.14,0.031025
1088.62,0.030817
1089.10,0.030592
1089.58,0.030354
1090.07,0.030112
1090.55,0.029873
1091.03,0.029637
1091.51,0.029403
1091.99,0.029167
1092.48,0.028928
1092.96,0.028684
1093.44,0.028438
1093.92,0.028192
1094.40,0.027947
1094.89,0.027703
1095.37,0.027458
1095.85,0.027209
1096.33,0.026958
1096.82,0.026706
1097.30,0.026458
1097.78,0.026217
1098.26,0.025984
1098.74,0.025756
1099.23,0.025525
1099.71,0.025286
1100.19,0.025035
1100.67,0.024770
1101.15,0.024495
1101.64,0.024216
1102.12,0.023939
1102.60,0.023665
1103.08,0.023393
1103.57,0.023122
1104.05,0.022846
1104.53,0.022563
1105.01,0.022273
1105.49,0.021977
1105.98,0.021678
1106.46,0.021378
1106.94,0.021080
1107.42,0.020784
1107.90,0.020490
1108.39,0.020200
1108.87,0.019915
1109.35,0.019633
1109.83,0.019353
1110.32,0.019070
1110.80,0.018781
1111.28,0.018478
1111.76,0.018158
1112.24,0.017818
1112.72,0.017462
1113.21,0.017091
1113.69,0.016713
1114.17,0.016333
1114.65,0.015956
1115.14,0.015585
1115.62,0.015221
1116.10,0.014864
1116.58,0.014514
1117.06,0.014167
1117.55,0.013823
1118.03,0.013480
1118.51,0.013137
1118.99,0.012794
1119.47,0.012453
1119.96,0.012115
1120.44,0.011782
1120.92,0.011454
1121.40,0.011130
1121.88,0.010806
1122.37,0.010480
1122.85,0.010150
1123.33,0.009815
1123.81,0.009477
1124.30,0.009140
1124.78,0.008809
1125.26,0.008488
1125.74,0.008183
1126.22,0.007893
1126.71,0.007618
1127.19,0.007358
1127.67,0.007109
1128.15,0.006868
1128.63,0.006633
1129.12,0.006400
1129.60,0.006166
